,Location,Village,Latitude,Longitude
0,BALLARI,NAVADGI,17.388835999999998,77.220145
1,BALLARI,KODIHALLI,14.812537099999998,76.2560821
10,BALLARI,BOMMANAKATTI,14.8603193,75.5610503
21,BALLARI,KURABGONDA,15.3463789,76.8284328
30,BALLARI,BISALAHALLI,15.1226144,76.9611554
32,BALLARI,KALKERI,15.159744199999999,75.8303618
35,BALLARI,D HONNUR,15.497914800000002,76.97741020000001
39,BALLARI,CHYMALAPUR,15.302331900000002,76.4695569
40,BALLARI,BHAIRAPUR,15.1978342,75.9698304
45,BALLARI,BASAPUR,15.1980843,76.60975040000001
48,BALLARI,KITTUR,14.926174300000001,75.54350529999999
49,BALLARI,TIMMAPUR,15.691746100000001,76.6525401
54,BALLARI,KELUR,15.1598422,75.7427003
58,BALLARI,T.BUDIHAL,15.168266599999999,75.849148
59,BALLARI,MOTEBENNUR,14.708584400000001,75.47982569999999
64,BALLARI,RAMPUR,15.064984400000002,76.7029404
65,BALLARI,KATENAHALLI,14.6390948,76.2650353
68,BALLARI,KONANATAMBIGI,14.674256900000001,75.79479570000001
93,ELURU,VENKATAPURAM,16.7000538,81.11645659999999
112,DUVVURU,GOWRAVARAM,14.151446300000002,79.8501885
137,DUVVURU,MYDUKUR,14.839747599999999,78.6522541
140,ELURU,CHANDRANNAPALEM,16.6655362,81.0137765
143,ELURU,SRIRAMAVARAM,16.7996492,81.20599729999999
146,RAJAHAMANDRY,GOKAVARAM,17.010251500000003,81.7711194
148,ELURU,KOTHAPALLI -E,16.7717872,81.11466750000001
150,ELURU,PUPPALAVARIGUDEM,16.6655362,81.0160927
154,ELURU,CHEEPURUGUDEM,16.7389926,81.06010079999999
156,ELURU,AMBERPETA,16.839963100000002,81.275768
157,ELURU,PERUGUGUDEM-1,16.705069,81.10416529999999
162,ELURU,DWARAKATIRUMALA,16.735882500000002,80.6710442
167,ELURU,MATTAMGUDEM,16.9190357,81.002666
169,ELURU,POTHAVARAM,17.0164103,81.41166329999999
171,ELURU,S CH PETA,16.711930900000002,81.07628879999999
173,ELURU,VEMULAPALLI,16.7080236,81.0891501
177,ELURU,NADIPALLI,16.8280306,81.0075423
178,ELURU,GANAPAVARIGUDEM,16.7072164,81.1070218
181,ELURU,GOPINADHAPATNAM,16.737394000000002,81.1443053
183,ELURU,KAMAVARAPUKOTA,17.008632300000002,81.2031416
184,ELURU,KOTTHAPALLI,16.7502856,81.1115123
188,ELURU,GOLLAGUDEM,16.8738301,81.3638153
189,ELURU,PANGIDIGUDEM,16.7814708,81.1755001
190,ELURU,DHARMAJI GUDEM,16.8975505,80.9932946
191,ELURU,VEMPADU,16.6827535,81.0235047
193,ELURU,MUDICHERLA,16.738190300000003,81.0693721
194,ELURU,T NARASAPURAM,17.0783038,80.98819940000001
195,ELURU,SEETAPURAM,16.682436600000003,81.03312209999999
196,ELURU,POTHUREDDYPALLI,16.801275600000004,80.8680837
198,ELURU,BASAVARAPADU,16.7524404,81.1111505
203,ELURU,CHINTALAPUDI,16.9004914,80.99837609999999
