State,Location,Latitude,Longitude
KARNATAKA,BALLARI,15.135924,76.8365522
ANDHRA PRADESH,DUVVURU,14.8412788,78.6498262
ANDHRA PRADESH,ELURU,16.7152999,81.0679664
MAHARASHTRA,MAHARASHTRA1,19.2126361,73.8844889
MAHARASHTRA,MAHARASHTRA,18.3250358,76.3943099
MAHARASHTRA,MAHARASHTRA3,21.2851191,75.1337703
MAHARASHTRA,MAHARASHTRA4,21.0442541,79.0065654
MAHARASHTRA,MAHARASHTRA2,19.0699716,77.3666882
ANDHRA PRADESH,KURNOOL,15.811924,78.0047824
ANDHRA PRADESH,PORUMAMILLA,15.0027013,78.9835988
TAMILNADU,CUMBAM,9.7355486,77.2671271
TELANGANA,SATHUPALLY,17.2075681,80.8086003
ANDHRA PRADESH,RAJAHAMANDRY,16.9874509,81.7363174
ANDHRA PRADESH,MARKAPUR,15.747148,79.2412084
ANDHRA PRADESH,S MYDUKUR,14.7364254,78.7003604
TELANGANA,KARIMNAGAR,18.4348833,79.0981286
TELANGANA,WARANGAL,17.9582997,79.5341464
ANDHRA PRADESH,GUNTUR,16.3236501,80.399499
