,Location,Village
0,BALLARI,NAGALUR
1,BALLARI,SHAHPUR
2,BALLARI,SHAHPUR
3,BALLARI,KALKERI
4,BALLARI,KALKERI
5,BALLARI,KONNUR
6,BALLARI,KONNUR
7,BALLARI,KONNUR
8,BALLARI,KONNUR
9,BALLARI,KONNUR
10,BALLARI,KONNUR
11,BALLARI,VANDANUR
12,BALLARI,VANDANUR
13,BALLARI,VANDANUR
14,BALLARI,SINDAGI
15,BALLARI,SINDAGI
16,BALLARI,SINDAGI
17,BALLARI,SINDAGI
18,BALLARI,NAVADGI
19,BALLARI,NAVADGI
20,BALLARI,NAVADGI
21,BALLARI,NAVADGI
22,BALLARI,NAVADGI
23,BALLARI,NAVADGI
24,BALLARI,NAVADGI
25,BALLARI,NAVADGI
26,BALLARI,SALADHALLI
27,BALLARI,SALADHALLI
28,BALLARI,SALADHALLI
29,BALLARI,SALADHALLI
30,BALLARI,SALADHALLI
31,BALLARI,SALADHALLI
32,BALLARI,SALADHALLI
33,BALLARI,SALADHALLI
34,BALLARI,SALADHALLI
35,BALLARI,SALADHALLI
36,BALLARI,SALADHALLI
37,BALLARI,SALADHALLI
38,BALLARI,SALADHALLI
39,BALLARI,SALADHALLI
40,BALLARI,SALADHALLI
41,BALLARI,SALADHALLI
42,BALLARI,SALADHALLI
43,BALLARI,SALADHALLI
44,BALLARI,KHANAPUR
45,BALLARI,KHANAPUR
46,BALLARI,KHANAPUR
47,BALLARI,KHANAPUR
48,BALLARI,GOBASALGI
49,BALLARI,KERUTAGI
50,DUVVURU,GUDIPADU
51,DUVVURU,GUDIPADU
52,DUVVURU,GUDIPADU
53,DUVVURU,GUDIPADU
54,DUVVURU,GUDIPADU
55,DUVVURU,GUDIPADU
56,DUVVURU,GUDIPADU
57,DUVVURU,GUDIPADU
58,DUVVURU,GUDIPADU
59,DUVVURU,GUDIPADU
60,DUVVURU,GUDIPADU
61,DUVVURU,GUDIPADU
62,DUVVURU,GUDIPADU
63,DUVVURU,GUDIPADU
64,DUVVURU,GUDIPADU-1
65,DUVVURU,GUDIPADU
66,DUVVURU,GUDIPADU
67,DUVVURU,GUDIPADU
68,DUVVURU,GUDIPADU
69,DUVVURU,GUDIPADU-1
70,DUVVURU,GUDIPADU
71,DUVVURU,GUDIPADU-1
72,DUVVURU,GUDIPADU
73,DUVVURU,GUDIPADU-1
74,DUVVURU,GUDIPADU
75,DUVVURU,GUDIPADU
76,DUVVURU,GUDIPADU
77,DUVVURU,GUDIPADU
78,DUVVURU,GUDIPADU
79,DUVVURU,GUDIPADU-1
80,DUVVURU,GUDIPADU-1
81,DUVVURU,GUDIPADU-1
82,DUVVURU,GUDIPADU-1
83,DUVVURU,GUDIPADU-1
84,DUVVURU,GUDIPADU
85,DUVVURU,GUDIPADU-1
86,DUVVURU,GUDIPADU-1
87,DUVVURU,GUDIPADU-1
88,DUVVURU,GUDIPADU-1
89,DUVVURU,GUDIPADU
90,DUVVURU,GUDIPADU
91,DUVVURU,GUDIPADU-1
92,DUVVURU,GUDIPADU-1
93,DUVVURU,EDAMADAKA
94,DUVVURU,EDAMADAKA
95,DUVVURU,EDAMADAKA
96,DUVVURU,EDAMADAKA
97,DUVVURU,EDAMADAKA
98,DUVVURU,EDAMADAKA
99,DUVVURU,EDAMADAKA
100,DUVVURU,EDAMADAKA
101,DUVVURU,EDAMADAKA
102,DUVVURU,EDAMADAKA
103,DUVVURU,EDAMADAKA
104,DUVVURU,EDAMADAKA
105,DUVVURU,EDAMADAKA
106,DUVVURU,EDAMADAKA
107,DUVVURU,EDAMADAKA
108,DUVVURU,EDAMADAKA
109,DUVVURU,EDAMADAKA
110,DUVVURU,EDAMADAKA
111,DUVVURU,EDAMADAKA
112,DUVVURU,EDAMADAKA
113,DUVVURU,EDAMADAKA
114,DUVVURU,EDAMADAKA
115,DUVVURU,EDAMADAKA
116,DUVVURU,EDAMADAKA
117,DUVVURU,EDAMADAKA
118,DUVVURU,EDAMADAKA
119,DUVVURU,EDAMADAKA
120,DUVVURU,EDAMADAKA
121,DUVVURU,EDAMADAKA
122,DUVVURU,EDAMADAKA
123,DUVVURU,EDAMADAKA
124,DUVVURU,EDAMADAKA
125,DUVVURU,EDAMADAKA
126,DUVVURU,EDAMADAKA
127,DUVVURU,EDAMADAKA
128,DUVVURU,EDAMADAKA
129,DUVVURU,EDAMADAKA
130,DUVVURU,EDAMADAKA
131,DUVVURU,EDAMADAKA
132,DUVVURU,EDAMADAKA
133,DUVVURU,EDAMADAKA
134,DUVVURU,EDAMADAKA
135,DUVVURU,EDAMADAKA
136,DUVVURU,EDAMADAKA
137,DUVVURU,AVULAPALLI
138,DUVVURU,AVULAPALLI
139,DUVVURU,AVULAPALLI
140,DUVVURU,AVULAPALLI
141,DUVVURU,AVULAPALLI
142,DUVVURU,AVULAPALLI
143,DUVVURU,AVULAPALLI
144,DUVVURU,AVULAPALLI
145,DUVVURU,AVULAPALLI
146,DUVVURU,MUTTULUR
147,DUVVURU,MUTTULUR
148,DUVVURU,MUTTULUR
149,DUVVURU,MUTTULUR
150,DUVVURU,MUTTULUR
151,DUVVURU,MUTTULUR
152,DUVVURU,MUTTULUR
153,DUVVURU,MUTTULUR
154,DUVVURU,MUTTULUR
155,DUVVURU,MUTTULUR
156,DUVVURU,MUTTULUR
157,DUVVURU,MUTTULUR
158,DUVVURU,MUTTULUR
159,DUVVURU,MUTTULUR
160,DUVVURU,MUTTULUR
161,DUVVURU,MUTTULUR
162,DUVVURU,MUTTULUR
163,DUVVURU,MUTTULUR
164,DUVVURU,MUTTULUR
165,DUVVURU,MUTTULUR
166,DUVVURU,BALAYAPALLI
167,DUVVURU,BALAYAPALLI
168,DUVVURU,MUTTULUR
169,DUVVURU,MUTTULUR
170,DUVVURU,MUTTULUR
171,DUVVURU,MUTTULUR
172,DUVVURU,MUTTULUR
173,DUVVURU,MUTTULUR
174,DUVVURU,MUTTULUR
175,DUVVURU,MUTTULUR
176,DUVVURU,MUTTULUR
177,DUVVURU,MUTTULUR
178,DUVVURU,GUDIPADU
179,DUVVURU,GUDIPADU
180,DUVVURU,GUDIPADU
181,DUVVURU,GUDIPADU
182,DUVVURU,GUDIPADU
