YEAR,1,2,3,4,5,6,7,8,9,10,11,12,Location
2012,0.0,0.0,0.3,92.9,38.3,21.9,51.1,103.0,75.5,38.3,122.9,0.5,BALLARI
2013,0.0,4.4,1.9,11.3,77.9,94.9,85.0,70.3,127.9,122.3,8.3,0.0,BALLARI
2014,0.0,6.0,27.5,23.9,117.2,86.8,100.2,179.6,91.7,102.5,14.8,45.3,BALLARI
2015,0.7,0.0,16.7,65.8,51.2,69.9,28.3,89.3,179.8,91.0,4.9,0.3,BALLARI
2016,9.4,0.0,0.0,4.2,67.9,128.5,68.4,24.7,47.9,11.4,4.2,4.6,BALLARI
2017,2.02,2.08,9.28,39.62,70.5,80.4,66.6,93.38,104.56,73.1,31.02,10.14,BALLARI
2012,1.5,1.5,0.3,39.2,26.3,41.0,117.8,90.0,38.1,76.3,78.7,47.5,DUVVURU
2013,0.0,26.5,5.2,7.8,32.0,82.7,90.0,98.0,134.1,190.1,21.7,1.1,DUVVURU
2014,0.0,0.0,7.7,6.5,22.2,45.5,49.5,89.4,82.6,96.9,26.7,5.6,DUVVURU
2015,3.6,0.0,8.2,74.6,23.6,76.2,38.0,144.2,129.5,90.8,389.6,34.2,DUVVURU
2016,14.7,0.0,0.1,0.1,47.7,133.9,137.4,61.0,110.2,12.4,6.5,66.7,DUVVURU
2017,2.99,3.84,6.79,32.63,50.43,78.13,76.57,94.95,101.73,83.2,67.83,20.58,DUVVURU
2012,8.9,0.0,3.1,1.3,36.1,108.0,292.9,369.7,271.3,217.5,303.1,0.0,ELURU
2013,0.7,23.9,0.0,29.7,9.6,107.6,217.4,102.2,123.6,345.6,36.4,9.4,ELURU
2014,2.2,0.7,1.1,4.5,127.8,17.3,257.0,160.9,202.5,72.7,10.7,3.7,ELURU
2015,0.6,0.1,1.3,6.7,33.3,278.9,125.6,243.5,179.7,90.5,93.5,0.2,ELURU
2016,1.1,0.0,2.7,0.0,101.4,333.3,173.1,162.1,315.6,46.0,9.4,3.9,ELURU
2017,2.893,4.21,5.073,24.567,54.167,108.427,122.113,132.5267,140.67,106.95,5.427,14.867,ELURU
2012,0.0,0.0,0.0,0.0,0.0,241.0,725.7,544.4,577.3,104.5,0.0,0.0,MAHARASHTRA1
2013,0.0,0.0,0.0,0.0,12.5,911.2,1157.7,483.6,357.6,103.8,0.1,0.0,MAHARASHTRA1
2014,0.3,2.8,0.7,0.1,0.5,111.9,1266.8,625.8,426.5,34.1,2.8,0.0,MAHARASHTRA1
2015,0.0,0.0,21.9,0.0,0.0,545.4,657.9,258.6,235.8,60.6,47.7,0.0,MAHARASHTRA1
2016,2.3,3.468,5.195,19.4,0.0,346.9,1146.0,704.0,445.9,58.5,62.21,11.737,MAHARASHTRA1
2017,2.3,3.468,5.195,19.4,41.28,189.14,339.29,230.22,207.65,98.29,62.21,11.737,MAHARASHTRA1
2012,1.0,0.0,0.0,0.0,0.0,98.4,194.7,176.4,148.5,59.2,6.5,0.0,MAHARASHTRA
2013,1.7,33.2,0.0,15.5,20.0,197.3,452.4,199.6,132.0,109.7,13.9,0.0,MAHARASHTRA
2014,0.0,19.0,96.4,10.9,6.4,30.9,82.0,191.6,99.0,10.7,8.0,0.0,MAHARASHTRA
2015,13.1,0.0,36.0,55.5,29.4,168.5,50.3,146.4,127.7,6.3,0.0,0.0,MAHARASHTRA
2016,0.0,0.0,10.8,3.2,10.1,255.7,377.1,118.4,273.4,115.6,0.0,0.0,MAHARASHTRA
2017,2.48,4.92,10.08,18.9,35.66,181.34,317.69,217.47,197.35,90.7,50.43,9.29,MAHARASHTRA
2012,0.0,0.0,0.0,10.8,7.0,153.1,328.5,156.6,155.3,51.6,0.4,0.0,MAHARASHTRA3
2013,6.4,23.7,3.6,3.8,0.0,463.6,305.6,261.6,148.1,113.4,0.0,0.0,MAHARASHTRA3
2014,0.9,5.4,97.9,7.2,4.8,59.1,190.1,161.2,154.6,20.7,0.3,0.0,MAHARASHTRA3
2015,14.2,4.3,81.6,39.7,0.7,201.1,73.5,248.4,132.1,3.8,0.0,0.0,MAHARASHTRA3
2016,0.0,4.6,20.6,0.0,11.1,157.5,371.8,113.7,156.2,68.1,0.0,0.0,MAHARASHTRA3
2017,2.79,5.383,15.366,17.766,30.5,185.6,307.06,212.61,189.33,84.163,41.76,7.69,MAHARASHTRA3
2012,21.0,0.0,0.0,16.97,27.63,101.2,545.1,568.6,303.0,37.6,9.1,0.0,MAHARASHTRA4
